Sample,Group,ID,Well,Row,Column,Plate
F_1,F_1,1,E3,5,3,1
F_2,F_2,2,A11,1,11,1
F_3,F_3,3,G6,7,6,1
F_4,F_4,4,C4,3,4,1
F_5,F_5,5,G4,7,4,1
F_6,F_6,6,E8,5,8,1
F_7,F_7,7,C8,3,8,1
F_8,F_8,8,H9,8,9,1
F_9,F_9,9,C5,3,5,1
F_10,F_10,10,E5,5,5,1
F_11,F_11,11,E6,5,6,1
F_12,F_12,12,A3,1,3,1
F_13,F_13,13,C7,3,7,1
F_14,F_14,14,H4,8,4,1
F_15,F_15,15,C9,3,9,1
F_16,F_16,16,B8,2,8,1
F_17,F_17,17,E4,5,4,1
F_18,F_18,18,A9,1,9,1
F_19,F_19,19,G5,7,5,1
F_20,F_20,20,C12,3,12,1
F_21,F_21,21,G12,7,12,1
F_22,F_22,22,G10,7,10,1
F_23,F_23,23,G9,7,9,1
F_24,F_24,24,H3,8,3,1
S_1,S_1,25,B11,2,11,1
S_2,S_2,26,H6,8,6,1
S_3,S_3,27,B10,2,10,1
S_4,S_4,28,D11,4,11,1
S_5,S_5,29,D5,4,5,1
S_6,S_6,30,C10,3,10,1
S_7,S_7,31,D6,4,6,1
S_8,S_8,32,D10,4,10,1
S_9,S_9,33,A12,1,12,1
S_10,S_10,34,F12,6,12,1
S_11,S_11,35,H7,8,7,1
S_12,S_12,36,A4,1,4,1
S_13,S_13,37,F8,6,8,1
S_14,S_14,38,B9,2,9,1
S_15,S_15,39,F11,6,11,1
S_16,S_16,40,C11,3,11,1
S_17,S_17,41,E12,5,12,1
S_18,S_18,42,A8,1,8,1
S_19,S_19,43,G8,7,8,1
S_20,S_20,44,D7,4,7,1
S_21,S_21,45,F9,6,9,1
S_22,S_22,46,B4,2,4,1
S_23,S_23,47,E11,5,11,1
S_24,S_24,48,B5,2,5,1
T_1,T_1,49,C3,3,3,1
T_2,T_2,50,E10,5,10,1
T_3,T_3,51,A7,1,7,1
T_4,T_4,52,G11,7,11,1
T_5,T_5,53,D9,4,9,1
T_6,T_6,54,A6,1,6,1
T_7,T_7,55,F4,6,4,1
T_8,T_8,56,D8,4,8,1
T_9,T_9,57,B7,2,7,1
T_10,T_10,58,D4,4,4,1
T_11,T_11,59,F3,6,3,1
T_12,T_12,60,F10,6,10,1
T_13,T_13,61,D3,4,3,1
T_14,T_14,62,B6,2,6,1
T_15,T_15,63,F5,6,5,1
T_16,T_16,64,G3,7,3,1
T_17,T_17,65,H5,8,5,1
T_18,T_18,66,C6,3,6,1
T_19,T_19,67,H10,8,10,1
T_20,T_20,68,E9,5,9,1
T_21,T_21,69,G7,7,7,1
T_22,T_22,70,E7,5,7,1
T_23,T_23,71,A5,1,5,1
T_24,T_24,72,B3,2,3,1
NA,forbidden,NA,A1,1,1,1
NA,forbidden,NA,B1,2,1,1
NA,forbidden,NA,C1,3,1,1
NA,forbidden,NA,D1,4,1,1
NA,forbidden,NA,E1,5,1,1
NA,forbidden,NA,F1,6,1,1
NA,forbidden,NA,G1,7,1,1
NA,forbidden,NA,H1,8,1,1
NA,forbidden,NA,A2,1,2,1
NA,forbidden,NA,B2,2,2,1
NA,forbidden,NA,C2,3,2,1
NA,forbidden,NA,D2,4,2,1
NA,forbidden,NA,E2,5,2,1
NA,forbidden,NA,F2,6,2,1
NA,forbidden,NA,G2,7,2,1
NA,forbidden,NA,H2,8,2,1
